path,times_optimized,avg_percent_optimized,avg_optimized_throughput_kb/s
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,1417,18.878375427126045,156.05121774417273
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> GCP_EUROPE_NORTH_1,1363,20.78087717481155,182.03817300657806
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> AZURE_SOUTH_AFRICA_NORTH,1328,15.997410476249835,90.05570495208565
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_SA_EAST_1_SAO_PAULO,1322,16.516923213483622,139.38449877786468
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_EU_CENTRAL_1_FRANKFURT,1317,21.573496664239165,217.07190367166857
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> AZURE_BRAZIL_SOUTH,1220,13.193738772844918,71.24328006151507
AWS_US_EAST_2_OHIO -> GCP_US_CENTRAL_1 -> GCP_AUSTRALIA_SOUTHEAST_1,1174,25.040359705718117,127.9845218146753
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,1137,5.205452465667705,21.993319982397054
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1,1137,1.4042694751965867,13.019442216027755
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AZURE_BRAZIL_SOUTH,1128,4.537427563202398,19.290330357955497
AZURE_FRANCE_CENTRAL -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,1118,7.248404732836102,59.93559716631319
AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,1089,14.217136083898419,225.03630420092077
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST,1032,27.642014200232712,349.68834112173
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> GCP_US_CENTRAL_1,1025,22.028078002706568,193.7559356953326
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> GCP_US_SOUTH_1,985,23.168052719647523,158.05571397106814
