path,times_optimized,avg_percent_optimized,avg_optimized_latency_ms,number_hops
AZURE_SOUTH_AFRICA_NORTH -> AWS_EU_CENTRAL_1_FRANKFURT -> AWS_EU_NORTH_1_STOCKHOLM,49873,0.8816238640868779,0.17573546570679166,1
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_EU_NORTH_1_STOCKHOLM,49766,3.312277301083444,0.5730332187236398,2
AZURE_BRAZIL_SOUTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,49419,9.482930816954516,1.8426348218385207,1
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1,48492,1.063968321930886,0.15185812896013617,1
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,48178,4.88390990320402,1.5308151881173904,2
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_SOUTH_AFRICA_NORTH,47582,1.1536761826731579,0.23039321968745807,1
GCP_ASIA_EAST_1 -> AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO,46846,2.433846153443364,0.4536030507755806,1
GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,46466,1.0120006547929106,0.14425427534162094,1
AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON -> GCP_ASIA_EAST_1,46079,2.5036478886846347,0.467411752590588,1
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,46039,4.7938629356397815,1.5003483831209363,2
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> GCP_ASIA_EAST_1,45787,8.009877882866668,2.1735673689881665,1
AWS_EU_NORTH_1_STOCKHOLM -> AZURE_FRANCE_CENTRAL -> AZURE_JAPAN_EAST,45769,5.878196645427758,1.5217086579280141,1
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AWS_SA_EAST_1_SAO_PAULO,45374,0.6893078725926371,0.11930832839738004,1
AWS_SA_EAST_1_SAO_PAULO -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,45337,0.6850552289037637,0.11857697091283981,1
GCP_ASIA_EAST_1 -> AZURE_FRANCE_CENTRAL -> AWS_EU_NORTH_1_STOCKHOLM,45014,8.060268896892575,2.1860699284318774,1
AZURE_JAPAN_EAST -> AZURE_FRANCE_CENTRAL -> AWS_EU_NORTH_1_STOCKHOLM,44991,5.959284758375583,1.544545709394085,1
GCP_EUROPE_NORTH_1 -> AZURE_FRANCE_CENTRAL -> GCP_ASIA_EAST_1,38895,6.130443708694278,1.683935234225581,1
GCP_ASIA_EAST_1 -> AZURE_FRANCE_CENTRAL -> GCP_EUROPE_NORTH_1,38762,6.2354321531560615,1.7126464150168275,1
AZURE_JAPAN_EAST -> AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AWS_SA_EAST_1_SAO_PAULO,38167,5.605067851174084,1.5909444452572863,2
AWS_SA_EAST_1_SAO_PAULO -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST,37788,5.623435907529883,1.596326039031154,2
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> AZURE_JAPAN_EAST,37374,2.6647408946090745,0.7434324578962204,1
AZURE_JAPAN_EAST -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,36899,2.668004541267044,0.7442407062457745,1
GCP_AUSTRALIA_SOUTHEAST_1 -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,35396,1.1539688066836917,0.35889586637462556,1
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> GCP_AUSTRALIA_SOUTHEAST_1,35297,1.1658244649248584,0.36310131066931706,1
GCP_ASIA_EAST_1 -> GCP_US_CENTRAL_1 -> AWS_SA_EAST_1_SAO_PAULO,33877,1.1900565646740913,0.35777087629830784,1
AWS_SA_EAST_1_SAO_PAULO -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,32302,1.201753159477792,0.3616462398690956,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO,31468,2.519151684083276,0.5087611661370978,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> AWS_EU_CENTRAL_1_FRANKFURT,30566,2.5463587550933475,0.514304834579829,1
AWS_US_WEST_1_CALIFORNIA -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,30025,1.1766108983689905,0.2092882122525369,1
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> AWS_US_WEST_1_CALIFORNIA,29842,1.1798969712629837,0.20995202045257233,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO,28741,1.4947196801817553,0.15117947912717533,1
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_EU_CENTRAL_1_FRANKFURT,28135,1.5268112609698736,0.15444151012873747,1
AZURE_SOUTH_AFRICA_NORTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1,27023,1.4840968405950727,0.3995609090682417,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,26946,2.3140734537165475,0.46740886440835294,1
GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,26762,1.410478952995009,0.3793481093267992,1
